Statistikdatum,Totalt_antal_fall,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland_Härjedalen,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra_Götaland,Örebro,Östergötland
4/3/2020,601,1,20,2,16,12,2,29,2,2,6,24,246,59,38,1,17,3,27,46,21,27
4/4/2020,357,4,18,0,12,2,2,15,1,2,3,12,129,17,11,1,17,6,14,30,3,58
4/5/2020,341,1,7,0,7,3,0,12,3,2,2,6,172,27,9,1,9,2,7,30,0,41
4/6/2020,391,0,16,0,12,10,4,10,5,3,10,7,131,18,31,2,5,4,18,54,12,39
4/7/2020,739,1,28,0,16,13,5,23,4,14,17,24,243,42,37,7,14,10,46,64,74,57
4/8/2020,656,2,28,1,17,9,8,19,2,7,12,15,271,33,29,1,12,5,23,68,37,57
4/9/2020,645,1,30,1,18,12,8,21,1,6,5,11,240,38,29,4,12,4,24,117,9,54
4/10/2020,452,1,17,0,18,4,8,19,1,4,6,24,148,41,4,3,15,8,27,69,4,31
4/11/2020,389,0,9,0,10,2,2,5,3,10,2,6,200,22,15,2,2,0,33,32,8,26
4/12/2020,419,0,23,0,17,3,6,9,2,1,2,14,174,7,13,2,0,5,15,43,64,19
4/13/2020,83,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,9,0,0
